taxID	depth10_read100_deam0.1	depth10_read100_deam0.2	depth10_read100_deam0.3	depth10_read100_deam0	depth10_read20_deam0.1	depth10_read20_deam0.2	depth10_read20_deam0.3	depth10_read20_deam0	depth10_read30_deam0.1	depth10_read30_deam0.2	depth10_read30_deam0.3	depth10_read30_deam0	depth10_read40_deam0.1	depth10_read40_deam0.2	depth10_read40_deam0.3	depth10_read40_deam0	depth10_read50_deam0.1	depth10_read50_deam0.2	depth10_read50_deam0.3	depth10_read50_deam0	depth10_read75_deam0.1	depth10_read75_deam0.2	depth10_read75_deam0.3	depth10_read75_deam0	depth1_read100_deam0.1	depth1_read100_deam0.2	depth1_read100_deam0.3	depth1_read100_deam0	depth1_read20_deam0.1	depth1_read20_deam0.2	depth1_read20_deam0.3	depth1_read20_deam0	depth1_read30_deam0.1	depth1_read30_deam0.2	depth1_read30_deam0.3	depth1_read30_deam0	depth1_read40_deam0.1	depth1_read40_deam0.2	depth1_read40_deam0.3	depth1_read40_deam0	depth1_read50_deam0.1	depth1_read50_deam0.2	depth1_read50_deam0.3	depth1_read50_deam0	depth1_read75_deam0.1	depth1_read75_deam0.2	depth1_read75_deam0.3	depth1_read75_deam0	depth20_read100_deam0.1	depth20_read100_deam0.2	depth20_read100_deam0.3	depth20_read100_deam0	depth20_read20_deam0.1	depth20_read20_deam0.2	depth20_read20_deam0.3	depth20_read20_deam0	depth20_read30_deam0.1	depth20_read30_deam0.2	depth20_read30_deam0.3	depth20_read30_deam0	depth20_read40_deam0.1	depth20_read40_deam0.2	depth20_read40_deam0.3	depth20_read40_deam0	depth20_read50_deam0.1	depth20_read50_deam0.2	depth20_read50_deam0.3	depth20_read50_deam0	depth20_read75_deam0.1	depth20_read75_deam0.2	depth20_read75_deam0.3	depth20_read75_deam0	depth2_read100_deam0.1	depth2_read100_deam0.2	depth2_read100_deam0.3	depth2_read100_deam0	depth2_read20_deam0.1	depth2_read20_deam0.2	depth2_read20_deam0.3	depth2_read20_deam0	depth2_read30_deam0.1	depth2_read30_deam0.2	depth2_read30_deam0.3	depth2_read30_deam0	depth2_read40_deam0.1	depth2_read40_deam0.2	depth2_read40_deam0.3	depth2_read40_deam0	depth2_read50_deam0.1	depth2_read50_deam0.2	depth2_read50_deam0.3	depth2_read50_deam0	depth2_read75_deam0.1	depth2_read75_deam0.2	depth2_read75_deam0.3	depth2_read75_deam0	depth40_read100_deam0.1	depth40_read100_deam0.2	depth40_read100_deam0.3	depth40_read100_deam0	depth40_read20_deam0.1	depth40_read20_deam0.2	depth40_read20_deam0.3	depth40_read20_deam0	depth40_read30_deam0.1	depth40_read30_deam0.2	depth40_read30_deam0.3	depth40_read30_deam0	depth40_read40_deam0.1	depth40_read40_deam0.2	depth40_read40_deam0.3	depth40_read40_deam0	depth40_read50_deam0.1	depth40_read50_deam0.2	depth40_read50_deam0.3	depth40_read50_deam0	depth40_read75_deam0.1	depth40_read75_deam0.2	depth40_read75_deam0.3	depth40_read75_deam0	depth5_read100_deam0.1	depth5_read100_deam0.2	depth5_read100_deam0.3	depth5_read100_deam0	depth5_read20_deam0.1	depth5_read20_deam0.2	depth5_read20_deam0.3	depth5_read20_deam0	depth5_read30_deam0.1	depth5_read30_deam0.2	depth5_read30_deam0.3	depth5_read30_deam0	depth5_read40_deam0.1	depth5_read40_deam0.2	depth5_read40_deam0.3	depth5_read40_deam0	depth5_read50_deam0.1	depth5_read50_deam0.2	depth5_read50_deam0.3	depth5_read50_deam0	depth5_read75_deam0.1	depth5_read75_deam0.2	depth5_read75_deam0.3	depth5_read75_deam0	depth60_read100_deam0.1	depth60_read100_deam0.2	depth60_read100_deam0.3	depth60_read100_deam0	depth60_read20_deam0.1	depth60_read20_deam0.2	depth60_read20_deam0.3	depth60_read20_deam0	depth60_read30_deam0.1	depth60_read30_deam0.2	depth60_read30_deam0.3	depth60_read30_deam0	depth60_read40_deam0.1	depth60_read40_deam0.2	depth60_read40_deam0.3	depth60_read40_deam0	depth60_read50_deam0.1	depth60_read50_deam0.2	depth60_read50_deam0.3	depth60_read50_deam0	depth60_read75_deam0.1	depth60_read75_deam0.2	depth60_read75_deam0.3	depth60_read75_deam0
0	37	46	54	13	324724	324278	324559	324545	36336	42281	47983	10564	38640	49403	59184	9216	38750	49281	59479	9305	38366	49043	59481	9231	3	9	6	2	32358	32443	32523	32437	3555	4303	4831	1056	3805	4835	5895	946	3864	4825	5927	944	3906	4912	5743	926	85	103	127	29	649326	649028	649266	650029	72439	84892	95831	21395	76788	98843	118055	18508	77669	98741	118991	18367	77556	99140	119073	18268	17	6	12	0	65011	65005	64895	65060	7289	8430	9569	2128	7618	9845	12067	1832	7667	9760	11760	1934	7749	9900	11960	1771	184	204	256	49	1298227	1298515	1297979	1298983	144283	168855	191878	42809	154671	196086	236476	36936	155044	197913	238195	36674	155323	197423	237431	36664	18	28	26	5	162277	162463	162372	162691	18070	20939	23970	5361	19403	24444	29536	4568	19378	24676	29616	4578	19388	24567	29773	4582	307	315	354	63	1947897	1947119	1947748	1948639	216573	253673	287718	63921	231298	294449	353206	55728	232520	296687	357000	55026	231702	296847	357041	55331
562	0	0	1	0	0	0	0	0	7	8	7	14	7	9	6	7	5	2	6	8	8	7	9	8	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	17	14	18	22	16	14	9	23	13	16	10	12	12	16	15	11	0	0	0	0	0	0	0	0	1	3	2	0	1	2	0	3	0	1	0	4	1	0	1	2	2	3	1	0	0	0	0	0	31	31	36	32	32	20	32	34	31	33	26	30	22	24	22	37	0	0	0	0	0	0	0	0	2	7	5	9	4	2	2	3	5	4	1	3	6	3	2	4	0	0	0	3	0	0	0	0	56	53	49	52	31	34	34	41	26	35	38	53	36	51	40	47
9606	6305	6249	6326	6327	0	0	0	0	7468	7479	7458	7458	7520	7537	7541	7565	7521	7554	7537	7553	7539	7541	7543	7553	631	606	628	628	0	0	0	0	751	747	746	744	746	756	757	754	759	756	749	756	756	752	757	753	12534	12538	12624	12564	0	0	0	0	15001	14943	14962	14969	15082	15027	15087	15109	15056	15098	15082	15081	15053	15060	15080	15056	1255	1267	1283	1225	0	0	0	0	1492	1477	1499	1492	1517	1500	1509	1506	1521	1505	1504	1518	1501	1492	1486	1511	25106	25227	25109	25004	0	0	0	0	29840	29876	29871	29855	30148	30137	30170	30166	30131	30200	30175	30180	30066	30164	30165	30153	3116	3159	3186	3135	0	0	0	0	3740	3743	3751	3750	3779	3772	3772	3779	3759	3781	3772	3751	3753	3779	3783	3774	37709	37664	37583	37650	0	0	0	0	44854	44830	44837	44839	45270	45169	45233	45229	45211	45279	45244	45299	45305	45229	45214	45178
10255	37768	36299	34890	40899	0	0	0	0	48966	48015	47737	51397	48774	47675	47044	51835	48721	47497	46504	51745	49034	47643	46911	52033	3700	3651	3479	4172	0	0	0	0	4834	4803	4769	5071	4916	4742	4667	5174	4860	4833	4712	5215	4941	4837	4847	5125	75343	72633	70118	82272	0	0	0	0	97456	96369	95170	102474	97987	95558	93414	103793	97392	95339	93411	103215	97625	94999	93290	103704	7478	7253	6899	8256	0	0	0	0	9726	9681	9593	10226	9820	9605	9245	10227	9660	9563	9269	10433	9856	9652	9244	10362	150012	144296	139732	164355	0	0	0	0	195206	193138	190276	205184	194874	191169	186704	207530	194712	190427	186496	206922	194724	191218	186589	207088	18763	17975	17524	20657	0	0	0	0	24479	24099	23756	25642	24562	23820	23691	26056	24467	23967	23566	25901	24368	23565	23107	26084	225601	217364	209824	246594	0	0	0	0	292916	288909	285728	307729	292364	286923	279204	310144	292671	285241	280516	311490	293063	285487	279676	310416
10298	31494	29273	27884	37843	0	0	0	0	38177	37755	36857	42149	38381	37222	35617	42632	38566	37464	35970	42565	38465	37353	35966	42531	3163	2934	2751	3745	0	0	0	0	3917	3834	3759	4232	3878	3728	3589	4272	3773	3753	3581	4286	3842	3674	3525	4310	63187	59121	55610	75851	0	0	0	0	77466	74991	73807	84294	76346	73986	71962	85090	76799	74430	71726	85329	77068	74362	71821	84909	6466	5941	5596	7482	0	0	0	0	7685	7538	7357	8386	7805	7471	7158	8683	7719	7450	7307	8409	7759	7307	7200	8490	126061	118069	110860	151199	0	0	0	0	153368	150585	147955	168843	153696	148759	143825	170426	154433	148674	143397	170666	153830	148364	143644	170273	15837	14971	13679	18902	0	0	0	0	19178	18904	18709	21162	19131	18742	17628	21190	19126	18535	17805	21435	19190	18867	17845	21302	189716	176587	165443	227092	0	0	0	0	231134	225943	221861	253124	231510	222622	216394	255715	231005	222942	214234	254891	230514	223090	215436	255385
10405	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
10406	0	0	0	0	0	0	0	0	0	4	1	2	0	0	1	1	0	0	0	2	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	6	7	3	2	1	1	2	1	4	2	2	1	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	2	1	4	1	0	0	0	0	5	6	8	8	2	2	3	2	7	4	5	1	5	1	4	6	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5	4	3	5	0	0	0	0	11	19	18	12	7	1	4	4	4	10	7	6	9	9	6	3
10407	615	601	565	724	0	0	0	0	786	790	769	891	767	823	782	847	835	798	779	891	792	804	768	894	62	72	58	58	0	0	0	0	77	69	86	85	80	86	96	90	83	62	70	88	70	74	78	94	1252	1223	1145	1378	0	0	0	0	1648	1622	1583	1710	1637	1598	1595	1727	1679	1519	1512	1756	1596	1535	1439	1709	146	132	115	135	0	0	0	0	166	144	137	191	153	138	140	158	154	154	147	156	173	155	154	161	2526	2418	2271	2887	0	0	0	0	3305	3207	3153	3448	3163	3193	3210	3488	3146	3129	3051	3517	3190	3187	3120	3576	342	305	299	362	0	0	0	0	393	395	394	440	387	397	395	439	378	422	397	431	436	415	406	423	3796	3564	3505	4266	0	0	0	0	4875	4813	4756	5204	4815	4711	4605	5264	4746	4652	4547	5187	4994	4653	4643	5225
10617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0
10620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
