119048	0	NA	NA
17095	10255	Variola virus	no rank
4968	10298	Human alphaherpesvirus 1	no rank
159	10407	Hepatitis B virus	no rank
388	10632	JC polyomavirus	no rank
2	10679	Peduovirus P2	species
379	10798	Human parvovirus B19	no rank
10	10868	Escherichia phage If1	no rank
1	1236395	Betapolyomavirus cercopitheci	species
4	1236400	Pan troglodytes troglodytes polyomavirus 1	species
6	1286214	Yellow baboon polyomavirus 2	no rank
1	1379695	Circoviridae 2 LDMD-2013	species
12	140410	Peduovirus	genus
1	1469906	Heterobasidion partitivirus 13	no rank
1	1508228	Wencheng Sm shrew coronavirus	species
1	1508710	Roundleaf bat hepatitis B virus	no rank
1	1508711	Horseshoe bat hepatitis B virus	no rank
1	1508712	Tent-making bat hepatitis B virus	no rank
1	1513278	Hibiscus green spot virus 2	no rank
2	1552409	Sea otter polyomavirus 1	species
6	1588764	Gemycircularvirus SL1	no rank
1	1592099	Sewage-associated circular DNA virus-32	no rank
24	1608141	Xincheng Mosquito Virus	no rank
45	1634488	Mongoose feces-associated gemycircularvirus c	no rank
13	1649240	Escherichia phage pro483	no rank
28	1673681	Gemycircularvirus C1c	no rank
6	1762023	Pan troglodytes verus polyomavirus 8	no rank
9	1891758	Betapolyomavirus secuchlopygerythrus	species
3	1891762	Betapolyomavirus hominis	species
4	1912759	Equus caballus papillomavirus 8	serotype
3	1922766	Changjiang crawfish virus 2	species
2	1922797	Changjiang picorna-like virus 8	species
1	1941236	Gemykibivirus	genus
15	1958907	Staphylococcus phage Andhra	no rank
69	2004486	Bovine associated gemykibivirus 1	no rank
21	2004966	Rhinolophus associated gemykibivirus 2	no rank
1	2013564	Fur seal picorna-like virus	species
1	2049933	Pomona bat hepatitis B virus	no rank
1	2050037	Long-fingered bat hepatitis B virus	no rank
82	2057942	Pleurochrysis carterae circular virus	species
1	2058093	Red clover varicosavirus	species
1	2107574	Domestic cat hepadnavirus	no rank
17	2108359	Staphylococcus phage CSA13	no rank
7	2163996	Capuchin monkey hepatitis B virus	no rank
1	2170538	Alfalfa virus F	no rank
1	2303487	Abras virus	no rank
1	2557875	Tai Forest hepadnavirus	species
77	2576222	Bat gemycircularvirus	no rank
5	2582937	Capybara genomovirus 10	no rank
5	2584398	Plant associated genomovirus 4	no rank
9	2681594	Escherichia phage P2	no rank
1	2736202	Yersinia phage vB_YpM_50	no rank
1	2748204	Benfica virus	no rank
46	2786389	ssRNA phage SRR5466337_3	no rank
67	2786405	ssRNA phage SRR5466369_2	no rank
1	2811963	Sulina virus	no rank
1	2813288	Bacopa monnieri virus 2	no rank
1	2816848	Bangali torovirus	no rank
5	2844218	Peduovirus P22H4	species
2	2844222	Peduovirus P24E6b	species
28	2844583	Gemykibivirus humas3	species
2	2939039	Salmonella phage STYP1	no rank
1	2992578	Yersinia phage L-413C	no rank
1	3050297	Roseolovirus humanbeta6b	species
1	3070170	Lokiarchaeia virus VerdaV1	no rank
1	3071296	Spiroplasma phage SVGII3	no rank
10857	32604	Human betaherpesvirus 6B	no rank
1	42182	Hepatitis C virus genotype 6	genotype
2	46771	Simian virus 12	species
1	488317	Eggplant mottled dwarf virus	no rank
225761	511145	Escherichia coli str. K-12 substr. MG1655	no rank
12	562	Escherichia coli	species
1	629740	Rio Grande virus	no rank
1	68416	Woolly monkey hepatitis B virus	no rank
19	72197	Human erythrovirus V9	species
1	872291	Heterobasidion partitivirus 2	no rank
1	947842	Cronobacter phage ESSI-2	no rank
7513	9606	Homo sapiens	species
