20804	0	NA	NA
102560	10255	Variola virus	no rank
84940	10298	Human alphaherpesvirus 1	no rank
1	10405	Orthohepadnavirus	genus
1	10406	Ground squirrel hepatitis virus	no rank
1824	10407	Hepatitis B virus	no rank
2819	10632	JC polyomavirus	no rank
7	10679	Peduovirus P2	species
3067	10798	Human parvovirus B19	no rank
21	10868	Escherichia phage If1	no rank
14	1236395	Betapolyomavirus cercopitheci	species
40	1236400	Pan troglodytes troglodytes polyomavirus 1	species
13	1286214	Yellow baboon polyomavirus 2	no rank
2	1379695	Circoviridae 2 LDMD-2013	species
18	140410	Peduovirus	genus
8	1508710	Roundleaf bat hepatitis B virus	no rank
5	1508711	Horseshoe bat hepatitis B virus	no rank
3	1508712	Tent-making bat hepatitis B virus	no rank
1	1588764	Gemycircularvirus SL1	no rank
287	1634488	Mongoose feces-associated gemycircularvirus c	no rank
46	1649240	Escherichia phage pro483	no rank
232	1673681	Gemycircularvirus C1c	no rank
1	1685756	Lake Sarah-associated circular virus-29	species
2	1685758	Lake Sarah-associated circular virus-30	no rank
28	1762023	Pan troglodytes verus polyomavirus 8	no rank
22	1891714	Betapolyomavirus	genus
20	1891758	Betapolyomavirus secuchlopygerythrus	species
11	1891762	Betapolyomavirus hominis	species
5	1891767	Betapolyomavirus macacae	species
35	1912759	Equus caballus papillomavirus 8	serotype
6	1941236	Gemykibivirus	genus
392	2004486	Bovine associated gemykibivirus 1	no rank
7	2004966	Rhinolophus associated gemykibivirus 2	no rank
1	2013564	Fur seal picorna-like virus	species
10	2049933	Pomona bat hepatitis B virus	no rank
1	2050037	Long-fingered bat hepatitis B virus	no rank
361	2057942	Pleurochrysis carterae circular virus	species
1	2058093	Red clover varicosavirus	species
47	2163996	Capuchin monkey hepatitis B virus	no rank
10	2557875	Tai Forest hepadnavirus	species
178	2576222	Bat gemycircularvirus	no rank
2	2584398	Plant associated genomovirus 4	no rank
37	2681594	Escherichia phage P2	no rank
3	2681630	Escherichia phage 186	no rank
3	2695850	Escherichia phage ESSI2_ev015	no rank
2	2736202	Yersinia phage vB_YpM_50	no rank
61	2786389	ssRNA phage SRR5466337_3	no rank
149	2786405	ssRNA phage SRR5466369_2	no rank
1	2793719	Agave tequilana virus 1	no rank
3	2816848	Bangali torovirus	no rank
8	2844218	Peduovirus P22H4	species
6	2844222	Peduovirus P24E6b	species
3	2844543	Gemyduguivirus macra1	species
122	2844583	Gemykibivirus humas3	species
3	2861008	Salmonella phage BIS20	no rank
9	2939039	Salmonella phage STYP1	no rank
1	2955874	Evevirus ev239	species
1	2992578	Yersinia phage L-413C	no rank
6	3050297	Roseolovirus humanbeta6b	species
90257	32604	Human betaherpesvirus 6B	no rank
1	35269	Woodchuck hepatitis virus	no rank
4	452475	Squirrel monkey polyomavirus	no rank
29	46771	Simian virus 12	species
451290	511145	Escherichia coli str. K-12 substr. MG1655	no rank
18	562	Escherichia coli	species
24	68416	Woolly monkey hepatitis B virus	no rank
1	70564	Hawaiian green turtle herpesvirus	no rank
163	72197	Human erythrovirus V9	species
1	859651	Rosellinia necatrix partitivirus 2	no rank
2	947842	Cronobacter phage ESSI-2	no rank
3	947843	Erwinia phage ENT90	no rank
15000	9606	Homo sapiens	species
