taxID	depth10_read100_deam0.1	depth10_read100_deam0.2	depth10_read100_deam0.3	depth10_read100_deam0	depth10_read20_deam0.1	depth10_read20_deam0.2	depth10_read20_deam0.3	depth10_read20_deam0	depth10_read30_deam0.1	depth10_read30_deam0.2	depth10_read30_deam0.3	depth10_read30_deam0	depth10_read40_deam0.1	depth10_read40_deam0.2	depth10_read40_deam0.3	depth10_read40_deam0	depth10_read50_deam0.1	depth10_read50_deam0.2	depth10_read50_deam0.3	depth10_read50_deam0	depth10_read75_deam0.1	depth10_read75_deam0.2	depth10_read75_deam0.3	depth10_read75_deam0	depth1_read100_deam0.1	depth1_read100_deam0.2	depth1_read100_deam0.3	depth1_read100_deam0	depth1_read20_deam0.1	depth1_read20_deam0.2	depth1_read20_deam0.3	depth1_read20_deam0	depth1_read30_deam0.1	depth1_read30_deam0.2	depth1_read30_deam0.3	depth1_read30_deam0	depth1_read40_deam0.1	depth1_read40_deam0.2	depth1_read40_deam0.3	depth1_read40_deam0	depth1_read50_deam0.1	depth1_read50_deam0.2	depth1_read50_deam0.3	depth1_read50_deam0	depth1_read75_deam0.1	depth1_read75_deam0.2	depth1_read75_deam0.3	depth1_read75_deam0	depth20_read100_deam0.1	depth20_read100_deam0.2	depth20_read100_deam0.3	depth20_read100_deam0	depth20_read20_deam0.1	depth20_read20_deam0.2	depth20_read20_deam0.3	depth20_read20_deam0	depth20_read30_deam0.1	depth20_read30_deam0.2	depth20_read30_deam0.3	depth20_read30_deam0	depth20_read40_deam0.1	depth20_read40_deam0.2	depth20_read40_deam0.3	depth20_read40_deam0	depth20_read50_deam0.1	depth20_read50_deam0.2	depth20_read50_deam0.3	depth20_read50_deam0	depth20_read75_deam0.1	depth20_read75_deam0.2	depth20_read75_deam0.3	depth20_read75_deam0	depth2_read100_deam0.1	depth2_read100_deam0.2	depth2_read100_deam0.3	depth2_read100_deam0	depth2_read20_deam0.1	depth2_read20_deam0.2	depth2_read20_deam0.3	depth2_read20_deam0	depth2_read30_deam0.1	depth2_read30_deam0.2	depth2_read30_deam0.3	depth2_read30_deam0	depth2_read40_deam0.1	depth2_read40_deam0.2	depth2_read40_deam0.3	depth2_read40_deam0	depth2_read50_deam0.1	depth2_read50_deam0.2	depth2_read50_deam0.3	depth2_read50_deam0	depth2_read75_deam0.1	depth2_read75_deam0.2	depth2_read75_deam0.3	depth2_read75_deam0	depth40_read100_deam0.1	depth40_read100_deam0.2	depth40_read100_deam0.3	depth40_read100_deam0	depth40_read20_deam0.1	depth40_read20_deam0.2	depth40_read20_deam0.3	depth40_read20_deam0	depth40_read30_deam0.1	depth40_read30_deam0.2	depth40_read30_deam0.3	depth40_read30_deam0	depth40_read40_deam0.1	depth40_read40_deam0.2	depth40_read40_deam0.3	depth40_read40_deam0	depth40_read50_deam0.1	depth40_read50_deam0.2	depth40_read50_deam0.3	depth40_read50_deam0	depth40_read75_deam0.1	depth40_read75_deam0.2	depth40_read75_deam0.3	depth40_read75_deam0	depth5_read100_deam0.1	depth5_read100_deam0.2	depth5_read100_deam0.3	depth5_read100_deam0	depth5_read20_deam0.1	depth5_read20_deam0.2	depth5_read20_deam0.3	depth5_read20_deam0	depth5_read30_deam0.1	depth5_read30_deam0.2	depth5_read30_deam0.3	depth5_read30_deam0	depth5_read40_deam0.1	depth5_read40_deam0.2	depth5_read40_deam0.3	depth5_read40_deam0	depth5_read50_deam0.1	depth5_read50_deam0.2	depth5_read50_deam0.3	depth5_read50_deam0	depth5_read75_deam0.1	depth5_read75_deam0.2	depth5_read75_deam0.3	depth5_read75_deam0	depth60_read100_deam0.1	depth60_read100_deam0.2	depth60_read100_deam0.3	depth60_read100_deam0	depth60_read20_deam0.1	depth60_read20_deam0.2	depth60_read20_deam0.3	depth60_read20_deam0	depth60_read30_deam0.1	depth60_read30_deam0.2	depth60_read30_deam0.3	depth60_read30_deam0	depth60_read40_deam0.1	depth60_read40_deam0.2	depth60_read40_deam0.3	depth60_read40_deam0	depth60_read50_deam0.1	depth60_read50_deam0.2	depth60_read50_deam0.3	depth60_read50_deam0	depth60_read75_deam0.1	depth60_read75_deam0.2	depth60_read75_deam0.3	depth60_read75_deam0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
562	1079	1099	1051	1130	0	0	0	0	7738	7762	7454	8583	18230	18020	17570	19980	18960	18060	18111	20473	19049	18546	18331	20446	111	108	122	98	0	0	0	0	794	740	736	886	1864	1838	1763	2021	1901	1910	1878	2064	1815	1900	1895	2076	2115	1996	2065	2207	0	0	0	0	15872	15444	15333	17200	36861	35951	35347	40124	37350	36853	36203	40907	37539	37303	35897	40968	208	205	218	230	0	0	0	0	1622	1548	1499	1789	3705	3631	3567	3978	3727	3703	3672	4057	3707	3701	3559	4007	4322	4268	4110	4742	0	0	0	0	31397	30876	30223	34709	73471	71931	70705	80294	75510	74140	71888	82225	75086	73384	72294	82327	522	545	518	599	0	0	0	0	4066	3891	3882	4259	9063	9162	8810	9975	9445	9189	9111	10427	9296	9366	9258	10281	6488	6209	5965	7101	0	0	0	0	47456	46279	45737	51965	110351	107555	106007	119533	112517	110613	108769	123103	112241	110483	108292	122779
9606	20	17	21	10	0	0	0	0	185	202	197	204	453	469	496	470	504	493	486	448	445	465	458	477	1	2	2	0	0	0	0	0	25	15	26	22	47	45	27	45	47	41	43	41	44	54	52	46	47	40	34	42	0	0	0	0	385	397	404	405	959	929	923	935	997	964	955	1012	918	919	924	928	9	1	4	2	0	0	0	0	25	34	50	40	82	91	104	95	87	76	104	88	100	89	85	87	68	62	68	66	0	0	0	0	748	783	758	765	1832	1916	1929	1886	1972	1894	1856	1979	1954	1931	1880	1962	4	11	5	12	0	0	0	0	96	127	103	83	215	229	247	217	238	237	243	256	220	254	255	242	94	104	87	100	0	0	0	0	1190	1196	1178	1104	2846	2780	2789	2769	2859	2781	2956	2858	2843	2874	2879	2770
10679	0	0	0	0	0	0	0	0	0	1	0	0	1	3	1	2	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	2	1	2	2	4	2	1	2	2	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	5	2	1	2	5	5	1	8	5	3	2	1	4	5	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	4	2	5	1	5	8	3	2	9	4	5	7
72197	0	1	0	0	0	0	0	0	7	2	2	6	18	9	10	13	12	13	15	9	8	14	12	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	2	0	1	2	3	0	0	2	1	0	0	0	0	5	9	5	11	23	28	20	21	22	23	21	37	16	25	21	23	0	0	0	0	0	0	0	0	1	0	1	2	3	5	0	3	4	1	4	0	2	1	1	1	0	1	2	1	0	0	0	0	16	12	18	22	34	38	52	50	54	37	38	44	36	42	47	57	0	0	0	0	0	0	0	0	2	1	3	1	5	1	4	9	9	12	4	7	5	5	6	9	2	3	5	1	0	0	0	0	21	14	18	22	67	72	60	85	65	66	64	74	62	57	60	77
227940	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	1	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	3	3	1	2	1	0	2	0	0	1	1	2
1236400	0	0	0	0	0	0	0	0	0	2	2	1	1	0	1	3	1	1	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	1	6	5	4	4	6	7	5	2	1	9	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	2	6	1	0	3	0	0	0	0	1	0	0	0	0	3	4	10	3	6	4	10	9	9	5	7	6	6	11	12	6	0	0	0	0	0	0	0	0	1	1	1	0	0	2	1	0	0	1	0	4	1	2	1	0	0	0	0	1	0	0	0	0	5	3	4	6	16	6	9	14	14	13	10	11	10	12	11	18
1891763	4	7	5	7	0	0	0	0	53	28	35	38	113	103	107	116	105	100	108	104	133	107	119	132	0	2	0	0	0	0	0	0	9	2	2	2	9	13	13	10	9	9	15	8	11	11	14	9	10	7	6	7	0	0	0	0	69	80	76	93	212	204	193	211	200	208	223	219	227	221	234	213	1	0	1	0	0	0	0	0	11	11	10	7	23	25	17	22	25	22	19	17	26	21	15	15	7	7	20	24	0	0	0	0	178	161	169	201	424	455	383	485	405	395	374	464	429	435	405	433	0	1	1	3	0	0	0	0	18	15	16	27	60	52	57	63	43	47	44	58	53	41	48	71	21	21	29	22	0	0	0	0	226	262	232	293	612	636	584	660	676	677	597	673	676	584	615	712
1891772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1977411	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	1	1	3	1	3	2	4	1	1	0	1	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	2	2	6	4	5	3	2	5	6	1	3	3	4	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	2	1	0	2	5	4	6	3	11	2	4	5	4	4	1	11
2006158	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	1	6	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	3	1	5	0	7	4	6	3	2	3	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	2	0	0	0	1	0	0	0	0	0	4	3	1	2	9	5	3	6	5	8	7	9	10	6	6	11	0	0	0	0	0	0	0	0	1	1	1	2	2	0	0	1	2	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	6	6	3	4	9	13	16	12	13	11	14	9	12	13	13	9
2057942	1	0	1	0	0	0	0	0	69	75	72	62	5	2	5	3	2	4	4	5	3	3	1	6	0	0	0	0	0	0	0	0	4	10	4	2	0	1	0	0	2	1	1	1	0	1	3	0	2	3	1	2	0	0	0	0	142	130	117	122	14	11	9	7	11	7	17	9	7	12	13	10	1	0	0	0	0	0	0	0	10	21	9	16	1	0	0	3	2	3	0	1	0	2	3	1	4	9	5	5	0	0	0	0	259	272	260	274	11	17	18	13	22	19	17	22	22	15	18	20	1	0	0	0	0	0	0	0	30	25	27	45	1	0	2	3	3	4	0	1	3	2	2	3	7	10	4	3	0	0	0	0	446	389	410	437	30	27	23	29	24	28	18	35	27	27	35	33
2560459	0	0	0	0	0	0	0	0	0	0	1	0	4	1	2	2	2	3	2	0	4	3	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	3	2	3	3	4	8	6	5	2	6	3	4	6	5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	2	4	4	2	3	6	10	11	7	9	10	13	8	7	8	7	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	2	1	2	0	0	1	2	0	1	1	1	1	1	0	0	0	0	5	4	8	10	10	11	12	20	18	14	18	16	15	15	18	13
2732597	371985	372261	372046	371895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37214	37173	37201	37198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	744164	744569	744525	743897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74368	74448	74433	74450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1488895	1488371	1488480	1488145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186032	186180	185991	186046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2232602	2232529	2232964	2231821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2844178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2844218	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	3	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	1	2	1	0	3	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	4	3	1	3	6	3	6	6	4	2	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	3	0	1	6	3	4	6	2	0	7	7	7	4	5	6
2844222	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	4	1	2	3	1	4	2	3	3	3	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	1	3	1	3	2	4	4	1	1	1	4	3	6	2	4
2844258	0	0	0	0	0	0	0	0	1	1	0	0	1	2	1	4	3	0	4	0	2	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	2	4	4	5	5	5	5	2	1	2	4	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	4	7	7	6	9	6	9	8	10	4	12	7	6	5	9	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	1	0	4	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	4	6	6	17	11	13	11	14	10	12	11	13	13	7	16
2844652	0	0	0	0	0	0	0	0	3	1	2	5	10	2	10	8	4	4	11	9	8	5	2	7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	3	5	6	21	16	12	13	14	13	11	9	12	12	16	11	0	0	0	0	0	0	0	0	1	0	2	1	2	2	2	1	2	2	0	2	1	1	2	1	1	2	0	1	0	0	0	0	12	8	8	10	21	17	23	23	30	30	15	28	19	30	24	30	0	0	1	0	0	0	0	0	2	3	0	2	6	4	5	1	1	7	1	3	6	2	3	3	1	0	1	2	0	0	0	0	26	16	17	17	42	43	33	56	36	45	29	54	38	30	38	48
2845070	0	0	0	0	0	0	0	0	2	1	1	2	3	0	2	1	0	1	1	3	3	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	5	7	2	3	2	4	1	4	7	7	5	1	4	1	10	2	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	8	6	9	11	5	12	6	7	7	5	14	9	9	9	11	4	0	0	0	0	0	0	0	0	3	5	2	1	0	2	2	0	4	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	8	12	21	11	13	16	12	16	9	11	11	8	7	14	13	17
