21216	562	Escherichia coli	species
489	9606	Homo sapiens	species
1	10679	Peduovirus P2	species
9	72197	Human erythrovirus V9	species
77	1891763	Betapolyomavirus secuhominis	species
1	1977411	Infulavirus If1	species
2	2057942	Pleurochrysis carterae circular virus	species
2	2560459	Peduovirus pro483	species
2	2844258	Peduovirus magyaro	species
4	2844652	Gihfavirus pelohabitans	species
1976	3050292	Simplexvirus humanalpha1	species
2715	3050297	Roseolovirus humanbeta6b	species
77	3052189	Erythroparvovirus primate1	species
36	3431302	Orthohepadnavirus hominoidei	species
1	3431462	Orthohepadnavirus sapaji	species
2945	3431487	Orthopoxvirus variola	species
