21345	562	Escherichia coli	species
499	9606	Homo sapiens	species
10	72197	Human erythrovirus V9	species
1	227940	Peduovirus L413C	species
3	1236400	Pan troglodytes troglodytes polyomavirus 1	species
112	1891763	Betapolyomavirus secuhominis	species
1	1977411	Infulavirus If1	species
2	2006158	Betapolyomavirus octipanos	species
5	2057942	Pleurochrysis carterae circular virus	species
3	2560459	Peduovirus pro483	species
2	2844258	Peduovirus magyaro	species
12	2844652	Gihfavirus pelohabitans	species
1	2845070	Kinglevirus lutadaptatum	species
4868	3050292	Simplexvirus humanalpha1	species
4701	3050297	Roseolovirus humanbeta6b	species
168	3052189	Erythroparvovirus primate1	species
66	3431302	Orthohepadnavirus hominoidei	species
2	3431460	Orthohepadnavirus pomi	species
3	3431462	Orthohepadnavirus sapaji	species
4646	3431487	Orthopoxvirus variola	species
