taxID	depth10_read100_deam0.1	depth10_read100_deam0.2	depth10_read100_deam0.3	depth10_read100_deam0	depth10_read20_deam0.1	depth10_read20_deam0.2	depth10_read20_deam0.3	depth10_read20_deam0	depth10_read30_deam0.1	depth10_read30_deam0.2	depth10_read30_deam0.3	depth10_read30_deam0	depth10_read40_deam0.1	depth10_read40_deam0.2	depth10_read40_deam0.3	depth10_read40_deam0	depth10_read50_deam0.1	depth10_read50_deam0.2	depth10_read50_deam0.3	depth10_read50_deam0	depth10_read75_deam0.1	depth10_read75_deam0.2	depth10_read75_deam0.3	depth10_read75_deam0	depth1_read100_deam0.1	depth1_read100_deam0.2	depth1_read100_deam0.3	depth1_read100_deam0	depth1_read20_deam0.1	depth1_read20_deam0.2	depth1_read20_deam0.3	depth1_read20_deam0	depth1_read30_deam0.1	depth1_read30_deam0.2	depth1_read30_deam0.3	depth1_read30_deam0	depth1_read40_deam0.1	depth1_read40_deam0.2	depth1_read40_deam0.3	depth1_read40_deam0	depth1_read50_deam0.1	depth1_read50_deam0.2	depth1_read50_deam0.3	depth1_read50_deam0	depth1_read75_deam0.1	depth1_read75_deam0.2	depth1_read75_deam0.3	depth1_read75_deam0	depth20_read100_deam0.1	depth20_read100_deam0.2	depth20_read100_deam0.3	depth20_read100_deam0	depth20_read20_deam0.1	depth20_read20_deam0.2	depth20_read20_deam0.3	depth20_read20_deam0	depth20_read30_deam0.1	depth20_read30_deam0.2	depth20_read30_deam0.3	depth20_read30_deam0	depth20_read40_deam0.1	depth20_read40_deam0.2	depth20_read40_deam0.3	depth20_read40_deam0	depth20_read50_deam0.1	depth20_read50_deam0.2	depth20_read50_deam0.3	depth20_read50_deam0	depth20_read75_deam0.1	depth20_read75_deam0.2	depth20_read75_deam0.3	depth20_read75_deam0	depth2_read100_deam0.1	depth2_read100_deam0.2	depth2_read100_deam0.3	depth2_read100_deam0	depth2_read20_deam0.1	depth2_read20_deam0.2	depth2_read20_deam0.3	depth2_read20_deam0	depth2_read30_deam0.1	depth2_read30_deam0.2	depth2_read30_deam0.3	depth2_read30_deam0	depth2_read40_deam0.1	depth2_read40_deam0.2	depth2_read40_deam0.3	depth2_read40_deam0	depth2_read50_deam0.1	depth2_read50_deam0.2	depth2_read50_deam0.3	depth2_read50_deam0	depth2_read75_deam0.1	depth2_read75_deam0.2	depth2_read75_deam0.3	depth2_read75_deam0	depth40_read100_deam0.1	depth40_read100_deam0.2	depth40_read100_deam0.3	depth40_read100_deam0	depth40_read20_deam0.1	depth40_read20_deam0.2	depth40_read20_deam0.3	depth40_read20_deam0	depth40_read30_deam0.1	depth40_read30_deam0.2	depth40_read30_deam0.3	depth40_read30_deam0	depth40_read40_deam0.1	depth40_read40_deam0.2	depth40_read40_deam0.3	depth40_read40_deam0	depth40_read50_deam0.1	depth40_read50_deam0.2	depth40_read50_deam0.3	depth40_read50_deam0	depth40_read75_deam0.1	depth40_read75_deam0.2	depth40_read75_deam0.3	depth40_read75_deam0	depth5_read100_deam0.1	depth5_read100_deam0.2	depth5_read100_deam0.3	depth5_read100_deam0	depth5_read20_deam0.1	depth5_read20_deam0.2	depth5_read20_deam0.3	depth5_read20_deam0	depth5_read30_deam0.1	depth5_read30_deam0.2	depth5_read30_deam0.3	depth5_read30_deam0	depth5_read40_deam0.1	depth5_read40_deam0.2	depth5_read40_deam0.3	depth5_read40_deam0	depth5_read50_deam0.1	depth5_read50_deam0.2	depth5_read50_deam0.3	depth5_read50_deam0	depth5_read75_deam0.1	depth5_read75_deam0.2	depth5_read75_deam0.3	depth5_read75_deam0	depth60_read100_deam0.1	depth60_read100_deam0.2	depth60_read100_deam0.3	depth60_read100_deam0	depth60_read20_deam0.1	depth60_read20_deam0.2	depth60_read20_deam0.3	depth60_read20_deam0	depth60_read30_deam0.1	depth60_read30_deam0.2	depth60_read30_deam0.3	depth60_read30_deam0	depth60_read40_deam0.1	depth60_read40_deam0.2	depth60_read40_deam0.3	depth60_read40_deam0	depth60_read50_deam0.1	depth60_read50_deam0.2	depth60_read50_deam0.3	depth60_read50_deam0	depth60_read75_deam0.1	depth60_read75_deam0.2	depth60_read75_deam0.3	depth60_read75_deam0
9606	94	94	94	95	71	71	71	70	95	95	96	96	97	97	97	97	97	97	97	97	97	97	97	97	52	54	53	53	19	18	20	18	45	44	43	45	55	55	55	54	55	55	55	55	54	55	56	55	95	95	95	95	79	80	79	79	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	75	74	75	74	33	33	32	33	67	66	66	66	78	77	77	78	77	77	76	76	77	77	77	77	96	96	96	96	89	89	89	89	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	92	91	92	92	57	56	56	57	90	90	90	89	94	94	94	94	94	94	94	94	94	94	94	94	96	96	96	96	93	93	93	93	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97
10255	93	93	93	94	51	50	50	52	92	91	91	92	95	95	95	96	95	95	95	96	95	95	95	96	35	36	35	37	11	11	11	12	29	29	29	30	38	37	37	38	38	38	38	39	38	38	38	39	95	95	95	95	63	63	62	65	97	96	96	97	97	97	97	97	97	97	97	97	97	97	97	97	56	56	56	58	19	19	19	20	48	48	47	49	59	58	58	59	59	59	58	61	59	59	58	61	96	96	96	96	77	76	76	79	97	97	97	98	98	98	97	98	98	98	97	98	98	98	97	98	84	83	83	85	36	35	35	37	77	76	76	78	86	86	85	87	86	86	86	87	86	86	86	88	97	97	97	97	86	85	84	87	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98
10298	93	93	93	94	57	56	56	59	92	92	91	93	95	95	94	96	95	95	94	96	95	95	95	96	40	38	38	41	15	15	15	16	34	34	33	36	42	41	41	43	41	42	41	44	42	41	40	44	95	95	95	95	68	67	67	71	96	96	96	97	97	97	96	97	97	97	97	97	97	97	96	97	60	59	59	62	25	24	24	26	52	51	51	54	63	62	61	65	62	62	63	65	63	61	62	65	96	96	96	96	81	80	79	84	97	97	97	98	97	97	97	98	97	97	97	98	97	97	97	98	84	84	83	86	43	42	42	45	78	78	78	81	87	87	85	89	87	86	86	89	87	87	85	89	96	96	96	97	88	87	86	91	97	97	97	98	97	97	97	98	97	97	97	98	97	97	97	98
10407	92	93	92	93	54	54	57	58	89	91	89	92	94	94	94	93	95	94	94	95	94	94	94	95	34	38	34	29	12	11	12	11	27	26	31	29	37	39	38	39	37	30	30	39	34	35	37	42	94	94	94	95	68	65	66	68	96	95	95	96	96	96	96	97	96	96	96	97	96	96	96	96	55	58	56	52	23	15	20	20	49	44	40	53	54	55	55	57	58	60	56	56	60	57	56	56	95	95	95	96	78	78	76	80	97	96	96	97	97	97	97	97	97	97	96	97	97	97	97	97	84	82	82	85	39	39	37	42	77	78	73	76	84	86	84	87	84	85	83	84	89	86	87	86	96	96	96	96	85	83	84	86	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97
10632	92	92	92	93	52	55	52	52	92	89	90	92	95	94	94	95	95	94	94	95	95	95	94	95	41	39	34	41	10	11	12	11	30	28	30	31	35	36	37	41	33	41	38	38	35	36	36	41	95	95	95	95	65	64	63	66	96	96	96	96	97	96	96	97	97	97	96	97	97	97	96	97	58	57	61	57	17	18	18	20	49	49	49	47	59	60	55	58	60	59	56	58	60	59	58	56	96	96	96	96	78	76	75	79	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	85	82	82	83	37	37	36	38	76	74	74	78	87	87	85	87	87	88	85	85	86	85	86	87	96	96	96	96	85	84	83	86	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97
10798	92	93	92	93	56	55	55	57	92	91	92	92	95	94	95	95	95	95	94	96	95	95	94	96	39	35	42	41	14	15	14	16	33	34	32	36	47	42	39	47	44	41	39	41	42	47	42	39	95	95	94	95	67	66	67	69	96	96	96	96	96	96	96	97	97	96	96	97	97	96	96	97	58	58	59	63	26	24	23	24	53	52	54	49	61	64	61	62	63	61	64	68	63	54	65	64	96	96	95	96	79	77	78	80	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	82	84	82	86	41	42	41	44	77	79	79	80	84	85	87	88	85	87	82	89	88	87	85	90	96	96	96	96	86	85	85	87	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97
12450	0	0	0	0	5	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	4	5	0	0	0	3	0	0	0	0	0	0	0	0	5	3	4	0	0	0	0	0	0	4	5	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	0	4	5	0	5	0	3	4	3	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32604	93	93	93	94	55	55	54	57	92	92	91	93	95	95	95	96	95	95	95	96	95	95	95	96	38	39	39	40	14	13	14	15	32	32	32	34	41	40	40	41	42	40	40	42	41	41	41	42	95	95	95	95	67	66	66	68	96	96	96	97	97	97	97	97	97	97	97	97	97	97	97	97	59	59	58	61	23	22	22	24	51	50	50	52	61	61	60	63	62	61	61	63	61	62	61	63	96	96	96	96	79	79	78	81	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	84	84	84	85	41	41	40	42	78	78	77	79	87	86	86	87	87	86	86	88	87	86	86	88	96	96	96	97	87	86	85	88	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97
46771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	3	0	0	0	0	4	0	0	0	3	4	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68416	18	17	18	18	3	3	4	4	14	19	11	14	22	25	23	18	24	21	23	20	22	24	21	24	2	0	2	2	0	0	0	0	3	0	0	0	3	4	3	3	3	0	3	0	0	0	0	5	22	20	22	22	5	4	5	5	23	24	24	22	25	23	24	22	23	23	23	22	23	22	23	22	3	3	4	4	0	0	0	0	4	5	4	6	5	6	6	6	6	6	5	7	6	7	4	6	22	21	21	21	6	8	8	9	23	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	11	8	8	11	0	0	0	0	11	11	5	10	13	13	15	16	12	14	13	13	16	16	15	15	23	22	22	22	9	8	11	15	23	22	23	22	22	24	21	20	22	22	24	22	22	22	22	22
