10798	Human parvovirus B19	no rank
32604	Human betaherpesvirus 6B	no rank
511145	Escherichia coli str. K-12 substr. MG1655	no rank
10255	Variola virus	no rank
10632	JC polyomavirus	no rank
12450	Saccharomyces cerevisiae killer virus M1	species
10298	Human alphaherpesvirus 1	no rank
68416	Woolly monkey hepatitis B virus	no rank
10407	Hepatitis B virus	no rank
72197	Human erythrovirus V9	species
9606	Homo sapiens	species
1286214	Yellow baboon polyomavirus 2	no rank
1762023	Pan troglodytes verus polyomavirus 8	no rank
2163996	Capuchin monkey hepatitis B virus	no rank
273356	Iaco virus	no rank
