97.558	10798	Human parvovirus B19	no rank
97.977	32604	Human betaherpesvirus 6B	no rank
94.536	511145	Escherichia coli str. K-12 substr. MG1655	no rank
11.152	1891762	Betapolyomavirus hominis	species
98.217	10255	Variola virus	no rank
97.675	10632	JC polyomavirus	no rank
98.086	10298	Human alphaherpesvirus 1	no rank
22.226	68416	Woolly monkey hepatitis B virus	no rank
97.444	10407	Hepatitis B virus	no rank
48.510	72197	Human erythrovirus V9	species
97.534	9606	Homo sapiens	species
11.566	1891758	Betapolyomavirus secuchlopygerythrus	species
13.743	1236400	Pan troglodytes troglodytes polyomavirus 1	species
14.723	1762023	Pan troglodytes verus polyomavirus 8	no rank
28.266	2163996	Capuchin monkey hepatitis B virus	no rank
