taxID	depth10_read100_deam0.1	depth10_read100_deam0.2	depth10_read100_deam0.3	depth10_read100_deam0	depth10_read20_deam0.1	depth10_read20_deam0.2	depth10_read20_deam0.3	depth10_read20_deam0	depth10_read30_deam0.1	depth10_read30_deam0.2	depth10_read30_deam0.3	depth10_read30_deam0	depth10_read40_deam0.1	depth10_read40_deam0.2	depth10_read40_deam0.3	depth10_read40_deam0	depth10_read50_deam0.1	depth10_read50_deam0.2	depth10_read50_deam0.3	depth10_read50_deam0	depth10_read75_deam0.1	depth10_read75_deam0.2	depth10_read75_deam0.3	depth10_read75_deam0	depth1_read100_deam0.1	depth1_read100_deam0.2	depth1_read100_deam0.3	depth1_read100_deam0	depth1_read20_deam0.1	depth1_read20_deam0.2	depth1_read20_deam0.3	depth1_read20_deam0	depth1_read30_deam0.1	depth1_read30_deam0.2	depth1_read30_deam0.3	depth1_read30_deam0	depth1_read40_deam0.1	depth1_read40_deam0.2	depth1_read40_deam0.3	depth1_read40_deam0	depth1_read50_deam0.1	depth1_read50_deam0.2	depth1_read50_deam0.3	depth1_read50_deam0	depth1_read75_deam0.1	depth1_read75_deam0.2	depth1_read75_deam0.3	depth1_read75_deam0	depth20_read100_deam0.1	depth20_read100_deam0.2	depth20_read100_deam0.3	depth20_read100_deam0	depth20_read20_deam0.1	depth20_read20_deam0.2	depth20_read20_deam0.3	depth20_read20_deam0	depth20_read30_deam0.1	depth20_read30_deam0.2	depth20_read30_deam0.3	depth20_read30_deam0	depth20_read40_deam0.1	depth20_read40_deam0.2	depth20_read40_deam0.3	depth20_read40_deam0	depth20_read50_deam0.1	depth20_read50_deam0.2	depth20_read50_deam0.3	depth20_read50_deam0	depth20_read75_deam0.1	depth20_read75_deam0.2	depth20_read75_deam0.3	depth20_read75_deam0	depth2_read100_deam0.1	depth2_read100_deam0.2	depth2_read100_deam0.3	depth2_read100_deam0	depth2_read20_deam0.1	depth2_read20_deam0.2	depth2_read20_deam0.3	depth2_read20_deam0	depth2_read30_deam0.1	depth2_read30_deam0.2	depth2_read30_deam0.3	depth2_read30_deam0	depth2_read40_deam0.1	depth2_read40_deam0.2	depth2_read40_deam0.3	depth2_read40_deam0	depth2_read50_deam0.1	depth2_read50_deam0.2	depth2_read50_deam0.3	depth2_read50_deam0	depth2_read75_deam0.1	depth2_read75_deam0.2	depth2_read75_deam0.3	depth2_read75_deam0	depth40_read100_deam0.1	depth40_read100_deam0.2	depth40_read100_deam0.3	depth40_read100_deam0	depth40_read20_deam0.1	depth40_read20_deam0.2	depth40_read20_deam0.3	depth40_read20_deam0	depth40_read30_deam0.1	depth40_read30_deam0.2	depth40_read30_deam0.3	depth40_read30_deam0	depth40_read40_deam0.1	depth40_read40_deam0.2	depth40_read40_deam0.3	depth40_read40_deam0	depth40_read50_deam0.1	depth40_read50_deam0.2	depth40_read50_deam0.3	depth40_read50_deam0	depth40_read75_deam0.1	depth40_read75_deam0.2	depth40_read75_deam0.3	depth40_read75_deam0	depth5_read100_deam0.1	depth5_read100_deam0.2	depth5_read100_deam0.3	depth5_read100_deam0	depth5_read20_deam0.1	depth5_read20_deam0.2	depth5_read20_deam0.3	depth5_read20_deam0	depth5_read30_deam0.1	depth5_read30_deam0.2	depth5_read30_deam0.3	depth5_read30_deam0	depth5_read40_deam0.1	depth5_read40_deam0.2	depth5_read40_deam0.3	depth5_read40_deam0	depth5_read50_deam0.1	depth5_read50_deam0.2	depth5_read50_deam0.3	depth5_read50_deam0	depth5_read75_deam0.1	depth5_read75_deam0.2	depth5_read75_deam0.3	depth5_read75_deam0	depth60_read100_deam0.1	depth60_read100_deam0.2	depth60_read100_deam0.3	depth60_read100_deam0	depth60_read20_deam0.1	depth60_read20_deam0.2	depth60_read20_deam0.3	depth60_read20_deam0	depth60_read30_deam0.1	depth60_read30_deam0.2	depth60_read30_deam0.3	depth60_read30_deam0	depth60_read40_deam0.1	depth60_read40_deam0.2	depth60_read40_deam0.3	depth60_read40_deam0	depth60_read50_deam0.1	depth60_read50_deam0.2	depth60_read50_deam0.3	depth60_read50_deam0	depth60_read75_deam0.1	depth60_read75_deam0.2	depth60_read75_deam0.3	depth60_read75_deam0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	3	1	3	2	2	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	4	2	4	3	1	1	4	3	3
2	4	3	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	18	10	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	25	26	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10732	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25716	36	29	25	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	47	66	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	97	94	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	10	12	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	168	135	160	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
25719	16	15	15	9	0	0	0	0	0	0	0	0	2	0	2	3	1	1	2	2	1	5	4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	32	28	32	31	0	0	0	0	0	0	0	0	5	0	3	1	1	2	5	3	2	5	3	5	2	1	1	4	0	0	0	0	0	0	0	0	4	0	0	0	1	1	1	0	1	0	0	0	65	56	55	57	0	0	0	0	0	0	0	0	6	7	11	7	8	12	6	9	2	9	3	9	11	7	4	6	0	0	0	0	0	0	0	0	0	1	1	1	2	1	2	1	0	0	0	3	89	85	100	77	0	0	0	0	0	0	0	0	11	13	7	13	16	8	8	12	8	10	10	13
27427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
