2	Bacteria	domain
8182	Pomoxis nigromaculatus	species
9020	Pternistis afer	species
10732	Streptomyces phage R4	no rank
25716	NA	NA
25719	NA	NA
27631	Tomopeas	genus
28793	Notropis	genus
38545	Gymnogongrus crenulatus	species
40575	Clostridium grantii	species
40576	Xenorhabdus bovienii	species
40637	Epidinium	genus
40645	Aleuritopteris duclouxii	species
74152	Elusimicrobiota	phylum
76208	Luehdorfia japonica	species
76240	Tryonia	genus
76241	Tryonia brevissima	species
131567	cellular organisms	cellular root
