27	2	Bacteria	domain
1	8182	Pomoxis nigromaculatus	species
1	9020	Pternistis afer	species
1	10732	Streptomyces phage R4	no rank
149	25716	NA	NA
56	25719	NA	NA
1	27631	Tomopeas	genus
37	28793	Notropis	genus
11	38545	Gymnogongrus crenulatus	species
1618	40575	Clostridium grantii	species
14768	40576	Xenorhabdus bovienii	species
128	40637	Epidinium	genus
32	40645	Aleuritopteris duclouxii	species
1	74152	Elusimicrobiota	phylum
1	76208	Luehdorfia japonica	species
163	76240	Tryonia	genus
8	76241	Tryonia brevissima	species
5	131567	cellular organisms	cellular root
