25	2	Bacteria	domain
3	10732	Streptomyces phage R4	no rank
168	25716	NA	NA
85	25719	NA	NA
1	27631	Tomopeas	genus
48	28793	Notropis	genus
4	38545	Gymnogongrus crenulatus	species
1834	40575	Clostridium grantii	species
17538	40576	Xenorhabdus bovienii	species
125	40637	Epidinium	genus
17	40645	Aleuritopteris duclouxii	species
1	43668	Brachybacterium	genus
1	55186	Trillium grandiflorum	species
2	73975	Asteriscus vogelii	species
1	76208	Luehdorfia japonica	species
128	76240	Tryonia	genus
11	76241	Tryonia brevissima	species
6	131567	cellular organisms	cellular root
