taxID	depth10_read100_deam0.1	depth10_read100_deam0.2	depth10_read100_deam0.3	depth10_read100_deam0	depth10_read20_deam0.1	depth10_read20_deam0.2	depth10_read20_deam0.3	depth10_read20_deam0	depth10_read30_deam0.1	depth10_read30_deam0.2	depth10_read30_deam0.3	depth10_read30_deam0	depth10_read40_deam0.1	depth10_read40_deam0.2	depth10_read40_deam0.3	depth10_read40_deam0	depth10_read50_deam0.1	depth10_read50_deam0.2	depth10_read50_deam0.3	depth10_read50_deam0	depth10_read75_deam0.1	depth10_read75_deam0.2	depth10_read75_deam0.3	depth10_read75_deam0	depth1_read100_deam0.1	depth1_read100_deam0.2	depth1_read100_deam0.3	depth1_read100_deam0	depth1_read20_deam0.1	depth1_read20_deam0.2	depth1_read20_deam0.3	depth1_read20_deam0	depth1_read30_deam0.1	depth1_read30_deam0.2	depth1_read30_deam0.3	depth1_read30_deam0	depth1_read40_deam0.1	depth1_read40_deam0.2	depth1_read40_deam0.3	depth1_read40_deam0	depth1_read50_deam0.1	depth1_read50_deam0.2	depth1_read50_deam0.3	depth1_read50_deam0	depth1_read75_deam0.1	depth1_read75_deam0.2	depth1_read75_deam0.3	depth1_read75_deam0	depth20_read100_deam0.1	depth20_read100_deam0.2	depth20_read100_deam0.3	depth20_read100_deam0	depth20_read20_deam0.1	depth20_read20_deam0.2	depth20_read20_deam0.3	depth20_read20_deam0	depth20_read30_deam0.1	depth20_read30_deam0.2	depth20_read30_deam0.3	depth20_read30_deam0	depth20_read40_deam0.1	depth20_read40_deam0.2	depth20_read40_deam0.3	depth20_read40_deam0	depth20_read50_deam0.1	depth20_read50_deam0.2	depth20_read50_deam0.3	depth20_read50_deam0	depth20_read75_deam0.1	depth20_read75_deam0.2	depth20_read75_deam0.3	depth20_read75_deam0	depth2_read100_deam0.1	depth2_read100_deam0.2	depth2_read100_deam0.3	depth2_read100_deam0	depth2_read20_deam0.1	depth2_read20_deam0.2	depth2_read20_deam0.3	depth2_read20_deam0	depth2_read30_deam0.1	depth2_read30_deam0.2	depth2_read30_deam0.3	depth2_read30_deam0	depth2_read40_deam0.1	depth2_read40_deam0.2	depth2_read40_deam0.3	depth2_read40_deam0	depth2_read50_deam0.1	depth2_read50_deam0.2	depth2_read50_deam0.3	depth2_read50_deam0	depth2_read75_deam0.1	depth2_read75_deam0.2	depth2_read75_deam0.3	depth2_read75_deam0	depth40_read100_deam0.1	depth40_read100_deam0.2	depth40_read100_deam0.3	depth40_read100_deam0	depth40_read20_deam0.1	depth40_read20_deam0.2	depth40_read20_deam0.3	depth40_read20_deam0	depth40_read30_deam0.1	depth40_read30_deam0.2	depth40_read30_deam0.3	depth40_read30_deam0	depth40_read40_deam0.1	depth40_read40_deam0.2	depth40_read40_deam0.3	depth40_read40_deam0	depth40_read50_deam0.1	depth40_read50_deam0.2	depth40_read50_deam0.3	depth40_read50_deam0	depth40_read75_deam0.1	depth40_read75_deam0.2	depth40_read75_deam0.3	depth40_read75_deam0	depth5_read100_deam0.1	depth5_read100_deam0.2	depth5_read100_deam0.3	depth5_read100_deam0	depth5_read20_deam0.1	depth5_read20_deam0.2	depth5_read20_deam0.3	depth5_read20_deam0	depth5_read30_deam0.1	depth5_read30_deam0.2	depth5_read30_deam0.3	depth5_read30_deam0	depth5_read40_deam0.1	depth5_read40_deam0.2	depth5_read40_deam0.3	depth5_read40_deam0	depth5_read50_deam0.1	depth5_read50_deam0.2	depth5_read50_deam0.3	depth5_read50_deam0	depth5_read75_deam0.1	depth5_read75_deam0.2	depth5_read75_deam0.3	depth5_read75_deam0	depth60_read100_deam0.1	depth60_read100_deam0.2	depth60_read100_deam0.3	depth60_read100_deam0	depth60_read20_deam0.1	depth60_read20_deam0.2	depth60_read20_deam0.3	depth60_read20_deam0	depth60_read30_deam0.1	depth60_read30_deam0.2	depth60_read30_deam0.3	depth60_read30_deam0	depth60_read40_deam0.1	depth60_read40_deam0.2	depth60_read40_deam0.3	depth60_read40_deam0	depth60_read50_deam0.1	depth60_read50_deam0.2	depth60_read50_deam0.3	depth60_read50_deam0	depth60_read75_deam0.1	depth60_read75_deam0.2	depth60_read75_deam0.3	depth60_read75_deam0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	46777	45611	44233	51065	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	4633	4538	4419	5105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93601	90815	88526	102534	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	9482	9255	8775	10127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187629	181617	176799	204456	0	0	0	0	0	0	0	0	4	2	2	3	0	0	0	0	0	0	0	0	23504	22684	21984	25592	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	280125	272863	264336	306905	0	0	0	0	0	0	0	0	4	4	4	4	0	0	0	0	0	0	0	0
9606	582	511	544	558	0	0	0	0	0	0	0	0	14	11	19	18	0	0	0	0	0	0	0	0	51	52	54	54	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1081	1147	1121	1105	0	0	0	0	0	0	0	0	36	28	32	45	0	0	0	0	0	0	0	0	118	111	102	111	0	0	0	0	0	0	0	0	3	1	2	5	0	0	0	0	0	0	0	0	2121	2177	2231	2137	0	0	0	0	0	0	0	0	70	75	61	86	0	0	0	0	0	0	0	0	266	264	282	266	0	0	0	0	0	0	0	0	13	5	12	9	0	0	0	0	0	0	0	0	3222	3194	3237	3272	0	0	0	0	0	0	0	0	105	82	111	108	0	0	0	0	0	0	0	0
10239	141770	138892	135860	152138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14258	13874	13610	15193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283743	278041	271998	303647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28324	27723	27438	30366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	567680	556063	545454	607042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70845	69426	68245	75961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	851294	833439	818359	911440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10255	44459	43728	42902	46335	0	0	0	0	0	0	0	0	105	79	93	136	0	0	0	0	0	0	0	0	4384	4374	4203	4732	0	0	0	0	0	0	0	0	15	8	12	11	0	0	0	0	0	0	0	0	88909	87325	85876	93131	0	0	0	0	0	0	0	0	224	201	223	269	0	0	0	0	0	0	0	0	8809	8784	8532	9250	0	0	0	0	0	0	0	0	26	25	18	20	0	0	0	0	0	0	0	0	177158	173574	171641	186607	0	0	0	0	0	0	0	0	434	434	417	453	0	0	0	0	0	1	1	0	22175	21671	21435	23333	0	0	0	0	0	0	0	0	53	39	57	65	0	0	1	0	0	0	0	0	266235	261550	257588	279581	0	0	0	0	0	0	0	0	681	689	639	757	0	0	0	1	1	0	0	0
10298	30519	29789	29079	34131	0	0	0	0	0	0	0	0	63	56	60	92	0	0	0	0	0	0	0	0	3071	2886	2886	3391	0	0	0	0	0	0	0	0	4	5	5	6	0	0	0	0	0	0	0	0	61605	59861	58214	68411	0	0	0	0	0	0	0	0	130	125	142	185	0	0	0	0	0	0	0	0	6268	6016	5827	6869	0	0	0	0	0	0	0	0	18	14	11	6	0	1	0	0	0	0	0	0	123093	119412	115679	136760	0	0	0	0	0	0	0	0	284	246	243	281	1	0	0	1	0	0	0	0	15458	15111	14228	17161	0	0	0	0	0	0	0	0	35	33	34	25	0	0	0	0	0	0	0	0	185184	178295	173031	205423	0	0	0	0	0	0	0	0	399	408	315	482	0	1	0	0	0	1	0	0
10404	4	4	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	18	20	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	21	18	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10405	47	43	34	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	2	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	66	70	73	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	147	164	203	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	29	18	19	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	242	263	265	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10407	711	702	690	795	0	0	0	0	0	0	0	0	3	3	0	1	0	0	0	0	0	0	0	0	71	82	66	57	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1447	1399	1388	1498	0	0	0	0	0	0	0	0	5	3	4	3	0	0	0	0	0	0	0	0	153	153	143	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2899	2889	2703	3124	0	0	0	0	0	0	0	0	7	6	7	11	0	0	0	0	0	0	0	0	373	356	361	409	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	4360	4285	4257	4631	0	0	0	0	0	0	0	0	17	12	12	14	0	0	0	0	0	0	0	0
