1	root	no rank
9606	Homo sapiens	species
10239	Viruses	acellular root
10255	Variola virus	no rank
10298	Human alphaherpesvirus 1	no rank
10404	Hepadnaviridae	family
10405	Orthohepadnavirus	genus
10407	Hepatitis B virus	no rank
10632	JC polyomavirus	no rank
10798	Human parvovirus B19	no rank
10986	Rice gall dwarf virus	no rank
11036	Venezuelan equine encephalitis virus	no rank
31612	Adelaide River virus	no rank
32604	Human betaherpesvirus 6B	no rank
37124	Chikungunya virus	no rank
40121	Erythroparvovirus	genus
40281	Cryphonectria hypovirus 1	no rank
60875	Mucambo virus	no rank
64292	Ntaya virus	no rank
72197	Human erythrovirus V9	species
77048	Methanobacterium phage psiM2	no rank
77698	Fiji disease virus	no rank
151341	Polyomaviridae	family
205895	Cypovirus 1	no rank
229149	Johnsongrass chlorotic stripe mosaic virus	no rank
238817	Maporal virus	no rank
290028	Human coronavirus HKU1	no rank
327387	Tropical soda apple mosaic virus	no rank
341053	Beilong virus	no rank
348009	Nepuyo virus	no rank
358764	Border disease virus	no rank
378833	Sowbane mosaic virus	no rank
426791	Soldado virus	no rank
511145	Escherichia coli str. K-12 substr. MG1655	no rank
631267	Chaoyang virus	species
687367	Torque teno virus 28	no rank
764599	Coastal Plains virus	no rank
930881	Sweet potato virus C	no rank
947842	Cronobacter phage ESSI-2	no rank
992212	SFTS virus HB29	no rank
994485	Scophthalmus maximus reovirus	no rank
1128423	Pine marten torque teno virus 1	no rank
1172196	Chicken calicivirus	no rank
1204161	Tyulek (Tjuloc) virus	no rank
1220025	Pokeweed mosaic virus	no rank
1244565	Ochlerotatus caspius flavivirus	species
1284208	Fusarium graminearum hypovirus 1	no rank
1286214	Yellow baboon polyomavirus 2	no rank
1307803	Equine pegivirus 1	no rank
1381104	Leopards Hill virus	no rank
1387984	Ophiostoma mitovirus 7	no rank
1416631	Marine RNA virus SF-2	no rank
1567404	Fako virus	species
1592098	Sewage-associated circular DNA virus-31	species
1608047	Huangpi Tick Virus 1	no rank
1611837	Chinook salmon bafinivirus	no rank
1636573	Lactococcus phage 936 group phage PhiB1127	no rank
1654603	Areca palm velarivirus 1	no rank
1655012	Propionibacterium phage Attacne	no rank
1843764	Bovine faeces associated circular DNA virus 1	species
1883104	Adonis mosaic virus	no rank
1891714	Betapolyomavirus	genus
1891767	Betapolyomavirus macacae	species
1922627	Beihai picorna-like virus 8	species
1922901	Hubei leech virus 3	species
1923234	Hubei sobemo-like virus 46	species
1923253	Hubei tick virus 2	species
1923286	Hubei tombus-like virus 38	species
1923357	Sanxia atyid shrimp virus 3	species
1956177	Citrus leprosis virus N	no rank
1958907	Staphylococcus phage Andhra	no rank
1987142	Rodent hepatovirus KEF121Sigmas2012	no rank
2004966	Rhinolophus associated gemykibivirus 2	no rank
2018500	Solenopsis invicta virus 4	no rank
2108359	Staphylococcus phage CSA13	no rank
2116197	fipivirus F1	no rank
2116385	Hainan hebius popei torovirus	no rank
2163996	Capuchin monkey hepatitis B virus	no rank
2170057	Estero Real virus	no rank
2212644	Alstroemeria yellow spot virus	no rank
2316143	Mouse kidney parvovirus	no rank
2487338	Bat pestivirus BtSk-PestV-1/GX2017	no rank
2490815	Sclerotium rolfsii hypovirus 4	no rank
2501222	Zymoseptoria tritici fusarivirus 1	no rank
2501743	Enterococcus phage vB_EfaP_Zip	no rank
2509395	Botrylloides leachii nidovirus	no rank
2546620	Enterococcus phage vB_EfaP_Ef7.4	no rank
2555551	Pepper mild mosaic virus	no rank
2557875	Tai Forest hepadnavirus	species
2569586	Canada goose coronavirus	species
2582937	Capybara genomovirus 10	no rank
2607629	Physalis rugose mosaic virus	no rank
2664941	Ocimum mosaic virus	no rank
2686546	Plasmopara viticola lesion associated ourmia-like virus 73	no rank
2716753	Taiyi bat virus	no rank
2724180	Butyrivibrio phage Arawn	no rank
2731360	Heunggongvirae	kingdom
2732588	Rakietenvirinae	subfamily
2767007	Bogoria virus	no rank
2768771	Bondarzewia berkeleyi negative-strand RNA virus 1	no rank
2783683	Macrobrachium rosenbergii Golda virus	no rank
2786058	ssRNA phage Esthiorhiza.2_4	no rank
2786238	ssRNA phage Gerhypos.1_7	no rank
2786243	ssRNA phage Gerhypos.2_11	no rank
2786389	ssRNA phage SRR5466337_3	no rank
2786463	ssRNA phage SRR5467091_13	no rank
2786465	ssRNA phage SRR5467091_15	no rank
2786604	ssRNA phage SRR6960799_8	no rank
2786664	ssRNA phage SRR7976301_3	no rank
2871166	Scorzonera virus A	no rank
2905571	Guiyang lispivirus 2	no rank
2924884	Clostridium phage LPCPA6	no rank
2948876	Quadragintavirus	genus
2992578	Yersinia phage L-413C	no rank
3044707	Duonihilunusvirus	genus
3070616	Gordonia phage EricDab	no rank
