8	1	root	no rank
234	9606	Homo sapiens	species
1789	10255	Variola virus	no rank
964	10298	Human alphaherpesvirus 1	no rank
29	10407	Hepatitis B virus	no rank
34	10632	JC polyomavirus	no rank
51	10798	Human parvovirus B19	no rank
1413	32604	Human betaherpesvirus 6B	no rank
2	40121	Erythroparvovirus	genus
1	68416	Woolly monkey hepatitis B virus	no rank
6873	511145	Escherichia coli str. K-12 substr. MG1655	no rank
3	1891714	Betapolyomavirus	genus
1	2163996	Capuchin monkey hepatitis B virus	no rank
