1	root	no rank
9606	Homo sapiens	species
10239	Viruses	acellular root
10255	Variola virus	no rank
10298	Human alphaherpesvirus 1	no rank
10404	Hepadnaviridae	family
10405	Orthohepadnavirus	genus
10406	Ground squirrel hepatitis virus	no rank
10407	Hepatitis B virus	no rank
10571	Bovine papillomavirus	species
10632	JC polyomavirus	no rank
10679	Peduovirus P2	species
10798	Human parvovirus B19	no rank
10837	Digitaria streak virus	no rank
10838	Bean dwarf mosaic virus	no rank
11036	Venezuelan equine encephalitis virus	no rank
11085	Langat virus	no rank
11152	Turkey coronavirus	no rank
11612	Impatiens necrotic spot virus	no rank
11746	Jaagsiekte sheep retrovirus	no rank
12742	Infectious flacherie virus	no rank
32604	Human betaherpesvirus 6B	no rank
35279	Meaban virus	no rank
40121	Erythroparvovirus	genus
40666	Ryegrass mosaic virus	no rank
46771	Simian virus 12	species
49267	Tomato pseudo-curly top virus	no rank
50817	Broad bean wilt virus 1	no rank
64320	Zika virus	no rank
66834	Rhopalosiphum padi virus	no rank
68416	Woolly monkey hepatitis B virus	no rank
72197	Human erythrovirus V9	species
92129	Tupaia paramyxovirus	no rank
92444	Acute bee paralysis virus	no rank
140410	Peduovirus	genus
142102	Taura syndrome virus	no rank
147711	Rhinovirus A	no rank
151341	Polyomaviridae	family
173824	Methanothermobacter phage psiM100	species
178354	Taro bacilliform virus	no rank
183585	Peach mosaic virus	no rank
221703	Simian foamy virus Pongo pygmaeus pygmaeus	no rank
239239	Carajas virus	no rank
248058	Abu Hammad virus	no rank
273355	Anhembi virus	no rank
362692	Oryza rufipogon endornavirus	no rank
453050	Sweet potato virus 2	no rank
474454	Rose spring dwarf-associated virus	no rank
488317	Eggplant mottled dwarf virus	no rank
511145	Escherichia coli str. K-12 substr. MG1655	no rank
573199	Murine adenovirus 3	no rank
676234	Furcraea necrotic streak virus	no rank
688699	sandfly fever Turkey virus	no rank
743578	uncultured phage MedDCM-OCT-S08-C41	no rank
798072	Tuhoko virus 1	no rank
947842	Cronobacter phage ESSI-2	no rank
1115692	Cannabis cryptic virus	no rank
1176153	Tomato necrotic stunt virus	no rank
1221206	Soybean chlorotic spot virus	species
1236395	Betapolyomavirus cercopitheci	species
1239832	Torque teno sus virus k2b	no rank
1272940	Porton virus	no rank
1309583	Bacillus phage MG-B1	no rank
1330070	Melegrivirus A	no rank
1345661	Nilaparvata lugens honeydew virus-2	species
1400526	Donkey orchid symptomless virus	no rank
1416021	Feline sakobuvirus A	no rank
1529392	Caprine parainfluenza virus 3	no rank
1562038	Norway rat hepacivirus 1	no rank
1569061	Blackcurrant waikavirus A	no rank
1582094	Cosavirus JMY-2014	species
1592085	Sewage-associated circular DNA virus-18	species
1592096	Sewage-associated circular DNA virus-29	no rank
1608063	Sanxia water strider virus 4	no rank
1608137	Wuhan Tick Virus 1	no rank
1698369	Lactococcus phage GE1	no rank
1729670	Maize-associated totivirus 1	no rank
1780058	tottorivirus A1	no rank
1808970	Angelica bushy stunt virus	no rank
1810944	Tunis virus	no rank
1810947	Zirqa virus	no rank
1827005	Tunisian small ruminant pestivirus	no rank
1849534	Fusarium poae virus 1-240374	no rank
1867943	Wolkberg virus	no rank
1871631	Rhizoctonia solani flexivirus 1	species
1891714	Betapolyomavirus	genus
1891758	Betapolyomavirus secuchlopygerythrus	species
1891767	Betapolyomavirus macacae	species
1891770	Betapolyomavirus secumuris	species
1922379	Beihai echinoderm virus 1	species
1922538	Beihai picorna-like virus 11	species
1922639	Beihai picorna-like virus 93	species
1922645	Beihai razor shell virus 1	species
1922651	Beihai rhabdo-like virus 1	no rank
1922652	Beihai rhabdo-like virus 2	no rank
1922708	Beihai sphaeromadae virus 2	species
1922722	Beihai tombus-like virus 19	species
1922797	Changjiang picorna-like virus 8	species
1922901	Hubei leech virus 3	species
1922992	Hubei odonate virus 11	no rank
1923155	Hubei picorna-like virus 71	species
