group_name,auc_roc,auc_pr,precision,recall,f1,optimal_threshold,n_samples,n_positives,n_negatives,tp,fp,fn,tn,tool,depth,read,deam
CENTRIFUGE_depth1_read20_deam0.0,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,1,20,0.0
CENTRIFUGE_depth1_read20_deam0.1,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,1,20,0.1
CENTRIFUGE_depth1_read20_deam0.2,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,1,20,0.2
CENTRIFUGE_depth1_read20_deam0.3,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,1,20,0.3
CENTRIFUGE_depth1_read30_deam0.0,0.9985294117647059,0.9317956349206349,1.0,0.5,0.6666666666666666,1190.8947368421052,348,8,340,4,0,4,340,CENTRIFUGE,1,30,0.0
CENTRIFUGE_depth1_read30_deam0.1,0.9974264705882353,0.8338789682539682,0.8,0.5,0.6153846153846154,1187.0,348,8,340,4,1,4,339,CENTRIFUGE,1,30,0.1
CENTRIFUGE_depth1_read30_deam0.2,0.9974264705882353,0.8338789682539682,0.75,0.375,0.5,1190.157894736842,348,8,340,3,1,5,339,CENTRIFUGE,1,30,0.2
CENTRIFUGE_depth1_read30_deam0.3,0.9974264705882353,0.8338789682539682,0.6666666666666666,0.25,0.36363636363636365,1188.8947368421052,348,8,340,2,1,6,339,CENTRIFUGE,1,30,0.3
CENTRIFUGE_depth1_read40_deam0.0,0.9985294117647059,0.9317956349206349,1.0,0.5,0.6666666666666666,1186.421052631579,348,8,340,4,0,4,340,CENTRIFUGE,1,40,0.0
CENTRIFUGE_depth1_read40_deam0.1,0.9974264705882353,0.8338789682539683,0.8,0.5,0.6153846153846154,1187.8947368421052,348,8,340,4,1,4,339,CENTRIFUGE,1,40,0.1
CENTRIFUGE_depth1_read40_deam0.2,0.9974264705882353,0.8338789682539683,0.75,0.375,0.5,1187.3157894736842,348,8,340,3,1,5,339,CENTRIFUGE,1,40,0.2
