76.220	35304	Bunyamwera virus	no rank
77.823	35304	Bunyamwera virus	no rank
75.242	35304	Bunyamwera virus	no rank
67.053	169696	Hollyhock leaf crumple virus satellite DNA	species
93.556	756759	Okra leaf curl betasatellite	no rank
86.681	169693	Okra yellow vein disease associated sequence	species
53.580	304222	Cotton leaf curl Gezira betasatellite	no rank
91.185	2170125	Porcine associated porprismacovirus 9	species
68.003	2480195	Ecklonia radiata-associated virus 5	species
67.308	2660760	Emaravirus kiwii	species
67.868	2660760	Emaravirus kiwii	species
69.268	2660760	Emaravirus kiwii	species
63.521	2660760	Emaravirus kiwii	species
70.333	2660760	Emaravirus kiwii	species
58.453	2660760	Emaravirus kiwii	species
